ID,LabelName,x,y,Elevation
0,AA,586173.2314,3207263.405,2154
1,AA,586171.9024,3207258.741,2158
2,AA,586176.43,3207252.57,2162
3,AA,586176.4308,3207252.459,2162
4,AA,586169.9749,3207229.917,2163
5,AA,586159.5266,3207259.202,2164
6,AA,586156.4226,3207257.406,2166
7,AA,586151.9871,3207251.279,2166
8,AA,586157.2558,3207250.21,2167
9,AA,586156.7102,3207244.998,2168
10,AA,586147.7215,3207248.477,2168
11,AA,586129.177,3207253.103,2164
12,AA,586122.2589,3207253.273,2165
13,AA,586136.0955,3207239.858,2165
14,AA,586148.653,3207241.171,2169
15,AA,586190.8358,3207254.229,2173
16,AA,586175.8587,3207276.832,2170
17,AA,586189.7331,3207271.395,2168
18,AA,586192.2675,3207271.193,2169
19,AA,586188.9737,3207268.73,2168
20,AA,586210.6036,3207255.374,2175
21,AA,586221.7313,3207252.466,2177
22,AA,586231.5413,3207230.378,2180
23,AA,586240.4216,3207215.375,2181
24,AA,586230.7583,3207217.851,2178
25,AA,586209.1267,3207231.429,2177
26,AA,586212.2493,3207243.752,2176
27,AA,586207.774,3207242.943,2176
28,AA,586205.6628,3207251.681,2175
29,AA,586202.8834,3207245.566,2174
30,AA,586195.5155,3207240.746,2174
31,AA,586195.0649,3207235.867,2174
32,AA,586188.6844,3207229.282,2172
33,AA,586192.923,3207222.665,2171
34,AA,586185.1481,3207220.169,2170
35,AA,586157.9717,3207219.634,2167
36,AA,586158.2478,3207286.894,2170
37,AA,586158.7829,3207280.471,2170
38,AA,586139.416,3207290.853,2168
39,AA,586133.6512,3207293.137,2168
40,AA,586132.5879,3207292.021,2167
41,AA,586105.1906,3207255.915,2163
42,AA,586092.6817,3207261.14,2162
43,AA,586101.4607,3207285.694,2162
44,AA,586103.0012,3207288.143,2162
45,AA,586108.1848,3207285.411,2163
46,AA,586106.6939,3207315.428,2163
47,AA,586090.9293,3207313.094,2162
48,AA,586087.5737,3207305.867,2161
49,AA,586071.3995,3207306.189,2160
50,AA,586090.0442,3207288.157,2161
51,AA,586090.3232,3207289.932,2160
52,AA,586094.3839,3207294.062,2162
53,AA,586154.5833,3207203.763,2168
54,AA,586143.9302,3207208.337,2167
55,AA,586141.2892,3207209.758,2167
56,AA,586139.3889,3207203.317,2165
57,AA,586128.8129,3207197.587,2164
58,AA,586124.5735,3207204.314,2164
59,AA,586131.4941,3207203.812,2164
60,AA,586134.097,3207207.488,2165
61,AA,586220.3147,3207272.511,2174
62,AA,586212.3967,3207276.108,2174
63,AA,586209.4527,3207278.967,2173
64,AA,586212.1098,3207288.405,2172
65,AA,586197.5527,3207293.947,2171
66,AA,586187.3064,3207283.233,2169
67,AA,586180.9155,3207291.053,2169
68,AA,586186.3318,3207296.301,2170
69,AA,586190.8746,3207301.099,2169
70,AA,586184.2367,3207315.898,2166
71,AA,586183.7007,3207322.431,2165
72,AA,586175.3803,3207314.723,2166
73,AA,586174.8207,3207311.395,2167
74,AA,586178.1386,3207310.644,2168
75,AA,586167.3608,3207292.835,2168
76,AA,586163.5011,3207300.895,2167
77,AA,586164.2572,3207304.003,2166
78,AA,586161.2473,3207302.651,2166
79,AA,586168.3677,3207327.524,2164
80,AA,586160.8017,3207323.146,2164
81,AA,586148.1361,3207323.273,2164
82,AA,586139.4497,3207325.424,2164
83,AA,586125.0465,3207349.472,2160
84,AA,586102.8576,3207346.425,2158
85,AA,586105.2439,3207326.941,2160
86,AA,586094.0148,3207330.403,2163
87,AA,586092.93,3207332.168,2163
88,AA,586088.7947,3207338.009,2162
89,AA,586089.4575,3207340.563,2161
90,AA,586088.8109,3207348.868,2159
91,AA,586082.1539,3207340.176,2161
92,AA,586085.521,3207319.813,2164
93,AA,586077.1599,3207317.534,2163
94,AA,586070.0172,3207321.692,2162
95,AA,586073.8003,3207336.9,2161
96,AA,586071.127,3207342.642,2159
97,AA,586072.8499,3207346.755,2159
98,AA,586059.7307,3207329.371,2161
99,AA,586051.8611,3207352.581,2158
100,AA,586046.3855,3207342.235,2160
101,AA,586042.2557,3207360.376,2157
102,AA,586042.5176,3207351.403,2159
103,AA,586029.9843,3207346.877,2158
104,AA,586036.2345,3207266.591,2157
105,AA,586042.5378,3207257.441,2158
106,AA,586044.6887,3207243.385,2158
107,AA,586064.2757,3207242.645,2161
108,AA,586071.8517,3207245.693,2162
109,AA,586067.034,3207238.566,2162
110,AA,586069.4059,3207234.041,2163
111,AA,586067.2851,3207231.033,2163
112,AA,586072.1829,3207240.488,2163
113,AA,586076.6413,3207256.588,2161
114,AA,586081.7442,3207251.64,2163
115,AA,586094.409,3207251.624,2163
116,AA,586086.7176,3207237.937,2165
117,AA,586103.5854,3207236.069,2165
118,AA,586113.7058,3207237.585,2165
119,AA,586120.4506,3207234.533,2166
120,AA,586111.7264,3207228.706,2164
121,AA,586110.6954,3207223.269,2164
122,AA,586110.9918,3207222.717,2165
123,AA,586111.5754,3207222.832,2164
124,AA,586113.0483,3207221.292,2163
125,AA,586114.1339,3207219.416,2164
126,AA,586122.9979,3207219.594,2163
127,AA,586118.1843,3207211.912,2163
128,AA,586121.0019,3207212.93,2163
129,AA,586119.961,3207208.823,2164
130,AA,586118.6121,3207206.818,2163
131,AA,586111.8145,3207203.886,2164
132,AA,586108.7541,3207209.293,2163
133,AA,586115.831,3207200.925,2162
134,AA,586117.0173,3207198.607,2161
135,AA,586114.7075,3207194.822,2161
136,AA,586113.9763,3207188.39,2160
137,AA,586109.1154,3207187.024,2160
138,AA,586107.1539,3207188.782,2159
139,AA,586015.3821,3207345.439,2152
140,AA,586007.4377,3207352.582,2151
141,AA,586001.4196,3207349.656,2151
142,AA,586002.7381,3207342.685,2152
143,AA,586002.5565,3207340.911,2152
144,AA,585993.9948,3207339.406,2153
145,AA,585991.2581,3207340.605,2152
146,AA,585985.2341,3207338.454,2154
147,AA,585977.1568,3207350.361,2151
148,AA,585976.0803,3207351.018,2151
149,AA,585987.181,3207325.616,2157
150,AA,585975.4476,3207318.326,2157
151,AA,585962.0464,3207325.65,2157
152,AA,585960.2855,3207326.634,2156
153,AA,585961.1974,3207348.026,2152
154,AA,585956.0914,3207353.417,2150
155,AA,585948.498,3207352.696,2150
156,AA,585949.3187,3207347.161,2152
157,AA,585950.5174,3207343.181,2154
158,AA,585952.862,3207342.312,2154
159,AA,585945.0905,3207326.299,2156
160,AA,585977.6536,3207309.921,2160
161,AA,585963.4778,3207277.46,2158
162,AA,585957.6675,3207285.838,2158
163,AA,585953.5525,3207315.06,2152
164,AA,585957.0745,3207300.017,2154
165,AA,585954.1322,3207302.654,2153
166,AA,585955.1246,3207300.224,2153
167,AA,585943.7105,3207302.355,2153
168,AA,585940.8756,3207303.663,2152
169,AA,585935.1422,3207301.737,2152
170,AA,585929.8183,3207297.154,2150
171,AA,585918.5776,3207302.167,2148
172,AA,585919.0818,3207312.919,2149
173,AA,585923.4184,3207319.267,2150
174,AA,585929.5369,3207282.636,2150
175,AA,585927.5928,3207282.068,2149
176,AA,585923.1059,3207282.81,2149
177,AA,585920.8621,3207283.236,2149
178,AA,586079.8198,3207183.259,2159
179,AA,586061.4677,3207149.105,2161
180,AA,586076.5221,3207168.276,2160
181,AA,586088.6476,3207149.197,2164
182,AA,586090.1287,3207146.549,2164
183,AA,586092.2233,3207140.027,2164
184,AA,586102.8774,3207161.381,2162
185,AA,586103.8731,3207158.508,2162
186,AA,586109.7881,3207162.209,2162
187,AA,586109.2442,3207156.775,2163
188,AA,586108.3206,3207150.009,2164
189,AA,586101.9155,3207133.673,2166
190,AA,586099.5174,3207128.669,2166
191,AA,586042.2067,3207184.419,2164
192,AA,586037.6198,3207185.492,2163
193,AA,586009.1867,3207196.693,2160
194,AA,586008.4181,3207195.247,2161
195,AA,585999.8621,3207192.967,2159
196,AA,585989.77,3207174.608,2158
197,AA,585991.0298,3207175.504,2158
198,AA,586007.6343,3207169.756,2159
199,AA,586017.5699,3207169.941,2158
200,AA,586039.3758,3207146.059,2159
201,AA,586037.4771,3207139.397,2159
202,AA,586036.1779,3207130.744,2159
203,AA,586035.8136,3207140.381,2159
204,AA,586031.2467,3207138.796,2159
205,AA,586025.849,3207144.074,2159
206,AA,586022.5143,3207160.116,2157
207,AA,586021.6483,3207158.669,2157
208,AA,586017.8524,3207158.198,2157
209,AA,586016.5844,3207158.41,2156
210,AA,586023.7925,3207106.385,2155
211,AA,586022.5269,3207106.265,2155
212,AA,586014.8484,3207103.881,2156
213,AA,586004.1756,3207098.039,2154
214,AA,586000.6728,3207097.459,2154
215,AA,585991.5214,3207096.615,2153
216,AA,585988.3663,3207088.614,2153
217,AA,585987.9923,3207086.506,2152
218,AA,585968.6172,3207084.921,2150
219,AA,585954.2337,3207067.195,2147
220,AA,585960.6808,3207104.03,2147
221,AA,585962.5555,3207113.906,2147
222,AA,585973.8891,3207096.484,2151
223,AA,585984.5375,3207131.688,2152
224,AA,585987.6051,3207138.359,2153
225,AA,585992.0606,3207141.827,2152
226,AA,585983.0437,3207149.073,2152
227,AA,585977.3351,3207143.823,2152
228,AA,585955.9416,3207138.566,2151
229,AA,585956.886,3207142.562,2151
230,AA,585962.5856,3207149.031,2152
231,AA,585956.6678,3207158.738,2151
232,AA,585969.649,3207155.511,2152
233,AA,585973.4829,3207150.885,2153
234,AA,585980.7552,3207155.483,2153
235,AA,586000.3869,3207109.646,2159
236,AA,586009.2739,3207119.795,2157
237,AA,586022.4229,3207146.265,2157
238,AA,586013.3254,3207138.219,2154
239,AA,586011.6536,3207140.312,2155
240,AA,586009.6259,3207150.934,2155
241,AA,585994.2573,3207147.716,2155
242,AA,585995.0251,3207149.273,2155
243,AA,585993.0379,3207154.466,2155
244,AA,585989.8473,3207190.343,2154
245,AA,585978.0724,3207188.593,2154
246,AA,585973.3429,3207182.685,2155
247,AA,585967.5863,3207183.861,2153
248,AA,585953.0014,3207167.021,2152
249,AA,585903.6345,3207189.7,2153
250,AA,586032.4135,3207204.29,2158
251,AA,586015.8007,3207211.147,2156
252,AA,586003.557,3207206.956,2154
253,AA,586087.2261,3207209.021,7100
254,AA,586080.3005,3207210.188,7100
255,AA,585987.1368,3207201.071,2151
256,AA,585986.644,3207201.843,2151
257,AA,585982.3409,3207217.102,2154
258,AA,585974.0048,3207198.424,2153
259,AA,585962.1482,3207194.569,2151
260,AA,585957.5416,3207198.302,2151
261,AA,585951.8313,3207193.273,2150
262,AA,585951.4251,3207195.486,2150
263,AA,585955.1275,3207208.478,2152
264,AA,585949.6775,3207246.886,2153
265,AA,585943.4274,3207235.87,2153
266,AA,585939.894,3207239.389,2153
267,AA,585939.8245,3207248.696,2153
268,AA,585929.4282,3207258.037,2152
269,AA,585878.1489,3207289.012,2146
270,AA,585893.8726,3207257.661,2149
271,AA,585894.4166,3207263.094,2150
272,AA,585896.5424,3207265.437,2150
273,AA,585912.0584,3207288.046,2151
274,AA,585916.7658,3207270.796,2151
275,AA,585912.4516,3207261.456,2153
276,AA,585911.1093,3207258.565,2153
277,AA,585920.8327,3207248,2154
278,AA,585923.5686,3207246.913,2155
279,AA,585935.0614,3207221.181,2156
280,AA,585931.9509,3207207.197,2155
281,AA,585945.5255,3207202.755,2155
282,AA,585947.1899,3207201.659,2156
283,AA,585919.5889,3207218.85,2154
284,AA,585918.5916,3207221.945,2154
285,AA,585920.075,3207232.039,2155
286,AA,585899.9389,3207241.085,2154
287,AA,585899.8581,3207225.794,2153
288,AA,585899.8581,3207225.794,2153
289,AA,585882.7965,3207214.475,2153
290,AA,585901.9973,3207213.289,2153
291,AA,585903.5526,3207213.744,2153
292,AA,585953.483,3207024.198,2151
293,AA,585947.0923,3207018.942,2152
294,AA,585957.5947,3206995.419,2153
295,AA,585972.6176,3206992.761,2147
296,AA,585990.4098,3207023.698,2150
297,AA,586004.3991,3207015.935,2150
298,AA,586017.5891,3207023.901,2151
299,AA,586018.3825,3207022.023,2151
300,AA,586021.4593,3207027.475,2154
301,AA,586035.1727,3207030.569,2156
302,AA,586017.7768,3207050.938,2149
303,AA,586031.251,3207046.939,2155
304,AA,586004.3389,3207063.137,2151
305,AA,586001.7682,3207055.14,2152
306,AA,585995.7679,3207062.852,2154
307,AA,586031.3882,3207119.849,2157
308,AA,586036.7306,3207108.92,2159
309,AA,586035.9861,3207104.26,2160
310,AA,586049.6155,3207092.506,2159
311,AA,586047.9294,3207109.557,2159
312,AA,586043.358,3207121.601,2157
313,AA,586191.2385,3207161.378,2172
