ID,Label,X,Y,E,AAAA,AABB,AACC,AADD,AAEE,AAFF,AAGG,AAHH,AAII,AAJJ,BBBB,BBCC,BBDD,BBEE,BBFF,BBGG,BBHH,BBII,BBJJ,CCCC,CCDD,CCEE,CCFF,CCGG,CCHH,CCII,CCJJ,DDDD,DDEE,DDFF,DDGG,DDHH,DDII,DDJJ,EEEE,EEFF,EEGG,EEHH,EEII,EEJJ,FFFF,FFGG,FFHH,FFII,FFJJ,GGGG,GGHH,GGII,GGJJ,HHHH,HHII,HHJJ,IIII,IIJJ,JJJJ
0,AA,586173.2314,3207263.405,2154.0,Mean : 4.798488080752799,Mean : 5.079990686160592,Mean : 4.732758736861696,Mean : 4.790913264600385,Mean : 5.72324290659631,Mean : 4.095284162319208,Mean : 6.422126484571165,Mean : 4.461982554927075,Mean : 0,Mean : 4.661394040780842,Mean : 5.028234956373545,Mean : 5.221011796981061,Mean : 5.272805839596139,Mean : 5.789350491082001,Mean : 5.767287036707241,Mean : 6.589212826917177,Mean : 5.024093183981706,Mean : 0,Mean : 5.164967823000204,Mean : 4.394687027294843,Mean : 4.853536289316953,Mean : 5.483295903049692,Mean : 6.7526999196111985,Mean : 4.864514309887101,Mean : 7.952755060479945,Mean : 4.019772741503678,Mean : 0.6261758650475605,Mean : 4.820237584443364,Mean : 5.465287424041858,Mean : 2.525018855783492,Mean : 5.890369974254382,Mean : 4.689026827885646,Mean : 3.642090602356037,Mean : 4.2486124287401905,Mean : 4.179334105335579,Mean : 7.493885568890305,Mean : 5.047605980479142,Mean : 4.342066935963631,Mean : 3.8352282471906154,Mean : 6.209104540570134,Mean : 3.0734077085584435,Mean : 7.7832740798076285,Mean : 2.1923009004902996,Mean : 0,Mean : 0,Mean : 4.007276286636835,Mean : 4.302889164763188,Mean : 4.331278358773291,Mean : 4.822609974508826,Mean : 2.884062129217854,Mean : 0,Mean : 4.5460858510937765,Mean : 0,Mean : 0,Mean : 3.932952780163333
1,AA,586171.9024,3207258.741,2158.0,Deviation : 2.5085233325195144,Deviation : 2.5429276223896466,Deviation : 2.0485380313150956,Deviation : 2.7605910123020156,Deviation : 2.32454097253559,Deviation : 0.06108681075415179,Deviation : 2.299132275187028,Deviation : 2.1086034214896334,Deviation : 0,Deviation : 1.9022555216657022,Deviation : 2.685311974889928,Deviation : 2.0445376715248527,Deviation : 2.551563870572399,Deviation : 2.4448704557659933,Deviation : 0.13013126059120683,Deviation : 2.2601064605804027,Deviation : 2.7491884834190348,Deviation : 0,Deviation : 2.362409140362712,Deviation : 2.413361766663725,Deviation : 2.3501734017221194,Deviation : 1.9488990754532256,Deviation : 0.0,Deviation : 2.629577802724681,Deviation : 0.45446747016807354,Deviation : 2.2748479221646822,Deviation : 0.0,Deviation : 2.585372724080466,Deviation : 2.5758142935705175,Deviation : 0.0,Deviation : 2.159568686236382,Deviation : 2.313931104961453,Deviation : 0.0,Deviation : 1.6304698180170918,Deviation : 2.4343194459467403,Deviation : 1.4705999433799235,Deviation : 2.404258122949101,Deviation : 1.8689468812971795,Deviation : 0.0,Deviation : 3.0600605494007875,Deviation : 2.073070791277012,Deviation : 0.6019717361031668,Deviation : 0.0,Deviation : 0,Deviation : 0,Deviation : 2.107949181608649,Deviation : 2.4558469452568743,Deviation : 1.8007621010602906,Deviation : 2.9124354992356474,Deviation : 2.0835464855409613,Deviation : 0,Deviation : 1.2089027244460953,Deviation : 0,Deviation : 0,Deviation : 2.2156371802597596
2,AA,586176.43,3207252.57,2162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,AA,586176.4308,3207252.459,2162.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,AA,586169.9749,3207229.917,2163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,AA,586159.5266,3207259.202,2164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,AA,586156.4226,3207257.406,2166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,AA,586151.9871,3207251.279,2166.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,AA,586157.2558,3207250.21,2167.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,AA,586156.7102,3207244.998,2168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
